Order_ID,Selling_Price,AWB_Number,Delivery_Partner,Item_Quantity,Payment_Mode,Shipping_City,Shipping_State,Product
10024,2847,26876005,ShadowFax,4,COD,Kolkata,West Bengal,Garbage Bags
10025,1075,58459437,Ekart,3,COD,Hyderabad,Telangana,Floor Cleaner
10026,1906,72704778,XpressBees,2,COD,Ahmedabad,Gujarat,Electric Kettle
10027,289,24751949,ShadowFax,2,COD,Delhi,Delhi,Dinner Plate Set
10028,2834,37633330,XpressBees,3,COD,Delhi,Delhi,Laundry Detergent
10029,3105,22737502,XpressBees,4,Prepaid,Chennai,Tamil Nadu,Toothpaste
10030,4758,34321924,XpressBees,2,Prepaid,Kolkata,West Bengal,Storage Container
10031,1999,64648731,ShadowFax,1,Prepaid,Delhi,Delhi,Air Freshener
10032,1367,67386450,XpressBees,3,Prepaid,Chennai,Tamil Nadu,Dish Sponge
10033,1628,23404289,Ekart,4,Prepaid,Bangalore,Karnataka,Toilet Cleaner
10034,3302,11136245,Ekart,3,COD,Ahmedabad,Gujarat,Laundry Detergent
10035,3656,91744476,Ekart,2,Prepaid,Pune,Maharashtra,Hand Wash
10036,3990,10077905,XpressBees,1,COD,Ahmedabad,Gujarat,Soap Bar
10037,746,55117549,ShadowFax,2,COD,Bangalore,Karnataka,Air Freshener
10038,2988,59127433,Ekart,2,Prepaid,Delhi,Delhi,Bucket
10039,2535,93873463,ShadowFax,4,Prepaid,Pune,Maharashtra,Shampoo
10040,700,33964389,XpressBees,3,Prepaid,Delhi,Delhi,Toothpaste
10041,2463,93805582,XpressBees,1,COD,Ahmedabad,Gujarat,Broom
10042,2161,98275866,ShadowFax,1,COD,Delhi,Delhi,Cushion Cover
10043,341,68123733,XpressBees,3,COD,Bangalore,Karnataka,Cushion Cover
10044,2141,60530964,Ekart,4,COD,Hyderabad,Telangana,Cushion Cover
10045,2924,70970111,Ekart,1,COD,Delhi,Delhi,Laundry Detergent
10046,2712,25222241,Ekart,3,COD,Chennai,Tamil Nadu,Broom
10047,1463,66618437,ShadowFax,2,Prepaid,Chennai,Tamil Nadu,Water Bottle
10048,1578,53945486,XpressBees,1,Prepaid,Bangalore,Karnataka,Floor Cleaner
10049,2656,21514586,XpressBees,1,Prepaid,Ahmedabad,Gujarat,Mop
10050,875,84969530,ShadowFax,2,COD,Chennai,Tamil Nadu,Electric Kettle
10051,4114,56837615,XpressBees,3,Prepaid,Ahmedabad,Gujarat,Laundry Detergent
10052,134,41916457,XpressBees,3,COD,Pune,Maharashtra,Dish Soap
10053,3252,90577174,ShadowFax,4,COD,Hyderabad,Telangana,Bucket
10054,2055,93135295,XpressBees,1,COD,Kolkata,West Bengal,Dinner Plate Set
10055,1685,73129965,Ekart,2,COD,Mumbai,Maharashtra,Garbage Bags
10056,4043,20173430,Ekart,4,COD,Bangalore,Karnataka,Cushion Cover
10057,3173,10723040,XpressBees,1,COD,Hyderabad,Telangana,Dish Soap
10058,1121,67007771,ShadowFax,2,COD,Pune,Maharashtra,Air Freshener
10059,3561,33937606,Ekart,4,Prepaid,Hyderabad,Telangana,Toothpaste
10060,2713,81871978,Ekart,3,COD,Pune,Maharashtra,Dinner Plate Set
10061,3943,65128460,Ekart,4,Prepaid,Ahmedabad,Gujarat,Hand Wash
10062,1600,22441769,Ekart,1,Prepaid,Hyderabad,Telangana,Shampoo
10063,4898,24935842,XpressBees,1,COD,Delhi,Delhi,Curtains
10064,261,60355319,XpressBees,4,Prepaid,Mumbai,Maharashtra,Toilet Cleaner
10065,4397,82817045,XpressBees,2,COD,Pune,Maharashtra,Storage Container
10066,2081,13827635,Ekart,3,Prepaid,Mumbai,Maharashtra,Air Freshener
10067,1095,38171745,Ekart,1,Prepaid,Kolkata,West Bengal,Laundry Detergent
10068,3442,45769480,XpressBees,3,Prepaid,Bangalore,Karnataka,Hand Wash
10069,4651,41099362,XpressBees,2,COD,Hyderabad,Telangana,Water Bottle
10070,3898,15619391,Ekart,2,COD,Mumbai,Maharashtra,Floor Cleaner
10071,1375,10913277,XpressBees,3,COD,Chennai,Tamil Nadu,Water Bottle
10072,1116,20825292,ShadowFax,2,Prepaid,Hyderabad,Telangana,Laundry Detergent
10073,437,49344480,XpressBees,2,COD,Pune,Maharashtra,Cushion Cover
10074,978,77790563,Ekart,2,COD,Bangalore,Karnataka,Dish Sponge
10075,1176,44121438,XpressBees,4,Prepaid,Delhi,Delhi,Broom
10076,4987,59275367,Ekart,4,COD,Mumbai,Maharashtra,Floor Cleaner
10077,4093,71363456,XpressBees,4,Prepaid,Chennai,Tamil Nadu,Toothpaste
10078,4959,32160286,Ekart,4,COD,Kolkata,West Bengal,Shampoo
10079,479,65431065,XpressBees,4,Prepaid,Ahmedabad,Gujarat,Dinner Plate Set
10080,592,41432655,Ekart,1,Prepaid,Ahmedabad,Gujarat,Air Freshener
10081,2162,41775414,ShadowFax,1,COD,Bangalore,Karnataka,Hand Wash
10082,3984,22343883,XpressBees,2,Prepaid,Delhi,Delhi,Dish Soap
10083,164,97238570,XpressBees,2,Prepaid,Pune,Maharashtra,Laundry Detergent
10084,2668,96352938,XpressBees,4,COD,Hyderabad,Telangana,Dinner Plate Set
10085,2127,69902777,XpressBees,3,Prepaid,Pune,Maharashtra,Mop
10086,2795,14783675,Ekart,2,Prepaid,Bangalore,Karnataka,Bucket
10087,1595,70124164,ShadowFax,1,COD,Mumbai,Maharashtra,Toothpaste
10088,491,48728745,Ekart,3,Prepaid,Delhi,Delhi,Dish Soap
10089,4614,49849403,ShadowFax,3,Prepaid,Ahmedabad,Gujarat,Laundry Detergent
10090,4574,80227851,Ekart,2,Prepaid,Mumbai,Maharashtra,Garbage Bags
10091,3661,18514957,XpressBees,4,COD,Hyderabad,Telangana,Electric Kettle
10092,2378,35313838,XpressBees,3,COD,Bangalore,Karnataka,Water Bottle
10093,3199,12957277,XpressBees,1,Prepaid,Chennai,Tamil Nadu,Dish Sponge
10094,300,12399790,ShadowFax,1,Prepaid,Pune,Maharashtra,Broom
10095,4975,47462544,XpressBees,2,COD,Bangalore,Karnataka,Toothpaste
10096,3204,30445256,Ekart,4,COD,Bangalore,Karnataka,Hand Wash
10097,4698,24151999,Ekart,2,COD,Chennai,Tamil Nadu,Soap Bar
10098,2554,24117715,Ekart,4,Prepaid,Hyderabad,Telangana,Dish Sponge
10099,3745,35225148,Ekart,2,COD,Delhi,Delhi,Dish Sponge
10100,904,51634813,Ekart,1,Prepaid,Bangalore,Karnataka,Laundry Detergent
10101,2831,16497611,ShadowFax,1,Prepaid,Hyderabad,Telangana,Toothpaste
10102,2873,40042118,XpressBees,4,COD,Chennai,Tamil Nadu,Curtains
10103,1670,81854965,ShadowFax,1,Prepaid,Hyderabad,Telangana,Mop
10104,2790,28996124,Ekart,3,Prepaid,Bangalore,Karnataka,Hand Wash
10105,3940,77866233,Ekart,1,COD,Delhi,Delhi,Electric Kettle
10106,1128,61878780,XpressBees,4,COD,Kolkata,West Bengal,Shampoo
10107,602,77333137,ShadowFax,4,COD,Kolkata,West Bengal,Garbage Bags
10108,4593,46897455,XpressBees,4,COD,Bangalore,Karnataka,Dish Soap
10109,970,76547722,XpressBees,4,Prepaid,Chennai,Tamil Nadu,Electric Kettle
10110,4588,77692313,XpressBees,4,Prepaid,Pune,Maharashtra,Toothpaste
10111,306,74059005,XpressBees,2,COD,Ahmedabad,Gujarat,Mop
10112,1584,37966426,Ekart,4,COD,Bangalore,Karnataka,Dinner Plate Set
10113,963,93477434,Ekart,1,Prepaid,Chennai,Tamil Nadu,Soap Bar
10114,2890,17749463,Ekart,1,Prepaid,Ahmedabad,Gujarat,Curtains
10115,663,68056231,Ekart,1,COD,Ahmedabad,Gujarat,Garbage Bags
10116,4291,34296612,ShadowFax,3,Prepaid,Ahmedabad,Gujarat,Hand Wash
10117,1857,28703424,ShadowFax,2,COD,Pune,Maharashtra,Mop
10118,1778,47882163,Ekart,2,Prepaid,Delhi,Delhi,Electric Kettle
10119,3342,14113153,ShadowFax,3,Prepaid,Pune,Maharashtra,Water Bottle
10120,4736,32333480,Ekart,1,COD,Bangalore,Karnataka,Dish Sponge
10121,1159,64999784,XpressBees,2,Prepaid,Hyderabad,Telangana,Broom
10122,1822,11256229,ShadowFax,1,Prepaid,Mumbai,Maharashtra,Dish Sponge
10123,3414,39129434,Ekart,1,COD,Delhi,Delhi,Bucket
10124,3257,40127389,Ekart,4,COD,Bangalore,Karnataka,Curtains
10125,2725,50700029,XpressBees,1,Prepaid,Delhi,Delhi,Dish Sponge
10126,2829,32647432,Ekart,4,Prepaid,Chennai,Tamil Nadu,Dish Soap
10127,1697,87398005,XpressBees,3,COD,Kolkata,West Bengal,Bucket
10128,3160,60004580,Ekart,4,COD,Ahmedabad,Gujarat,Storage Container
10129,2793,56677922,XpressBees,2,Prepaid,Hyderabad,Telangana,Curtains
10130,4991,55475675,XpressBees,2,COD,Mumbai,Maharashtra,Dinner Plate Set
10131,3727,45390283,XpressBees,2,Prepaid,Chennai,Tamil Nadu,Water Bottle
10132,1463,18938315,XpressBees,4,Prepaid,Delhi,Delhi,Hand Wash
10133,2081,80712370,Ekart,3,COD,Pune,Maharashtra,Curtains
10134,1763,83707512,Ekart,3,COD,Mumbai,Maharashtra,Bucket
10135,1629,26776200,XpressBees,3,COD,Bangalore,Karnataka,Cushion Cover
10136,2138,23563250,Ekart,4,COD,Delhi,Delhi,Laundry Detergent
10137,3402,24342834,XpressBees,3,COD,Pune,Maharashtra,Hand Wash
10138,2337,15557920,Ekart,3,COD,Ahmedabad,Gujarat,Mop
10139,1406,50122145,XpressBees,1,COD,Kolkata,West Bengal,Cushion Cover
10140,4129,14389365,XpressBees,1,COD,Ahmedabad,Gujarat,Electric Kettle
10141,2775,19537112,XpressBees,2,Prepaid,Pune,Maharashtra,Storage Container
10142,1382,74773043,Ekart,1,Prepaid,Mumbai,Maharashtra,Cushion Cover
10143,809,66967393,ShadowFax,2,Prepaid,Bangalore,Karnataka,Broom
10144,4844,10832123,ShadowFax,1,Prepaid,Hyderabad,Telangana,Shampoo
10145,4513,87673772,Ekart,4,COD,Chennai,Tamil Nadu,Dinner Plate Set
10146,3848,75773249,XpressBees,2,Prepaid,Kolkata,West Bengal,Soap Bar
10147,4879,99167702,XpressBees,1,COD,Kolkata,West Bengal,Dinner Plate Set
10148,763,49740229,XpressBees,2,Prepaid,Hyderabad,Telangana,Laundry Detergent
10149,2098,19823078,XpressBees,1,Prepaid,Mumbai,Maharashtra,Curtains
10150,3545,46888484,Ekart,3,COD,Pune,Maharashtra,Water Bottle
10151,3843,88890938,XpressBees,2,COD,Delhi,Delhi,Laundry Detergent
10152,1595,63525677,XpressBees,3,COD,Pune,Maharashtra,Bucket
10153,3404,51884094,ShadowFax,3,Prepaid,Hyderabad,Telangana,Dish Soap
10154,3863,65125590,XpressBees,3,Prepaid,Kolkata,West Bengal,Dinner Plate Set
10155,1953,47629518,ShadowFax,1,COD,Hyderabad,Telangana,Floor Cleaner
10156,4759,99413249,XpressBees,3,COD,Pune,Maharashtra,Hand Wash
10157,1391,10727845,XpressBees,1,COD,Mumbai,Maharashtra,Soap Bar
10158,3681,97593816,Ekart,1,COD,Kolkata,West Bengal,Electric Kettle
10159,3557,26699207,XpressBees,1,COD,Delhi,Delhi,Dinner Plate Set
10160,1736,15451323,ShadowFax,3,Prepaid,Mumbai,Maharashtra,Floor Cleaner
10161,3796,49545418,Ekart,4,COD,Ahmedabad,Gujarat,Toothpaste
10162,3099,30922908,XpressBees,2,COD,Delhi,Delhi,Soap Bar
10163,3252,68126395,Ekart,1,Prepaid,Kolkata,West Bengal,Toothpaste
10164,798,31870244,Ekart,1,COD,Delhi,Delhi,Soap Bar
10165,2260,55077259,Ekart,4,Prepaid,Chennai,Tamil Nadu,Air Freshener
10166,4197,97241726,XpressBees,4,COD,Bangalore,Karnataka,Dinner Plate Set
10167,4837,93099988,Ekart,1,COD,Delhi,Delhi,Shampoo
10168,954,55254308,ShadowFax,3,Prepaid,Kolkata,West Bengal,Broom
10169,3574,35102009,Ekart,4,COD,Mumbai,Maharashtra,Dish Sponge
10170,1807,18792630,Ekart,1,COD,Bangalore,Karnataka,Dish Soap
10171,2877,28072945,XpressBees,1,COD,Pune,Maharashtra,Cushion Cover
10172,1833,34274452,XpressBees,3,COD,Pune,Maharashtra,Laundry Detergent
10173,3610,65547355,XpressBees,2,COD,Hyderabad,Telangana,Laundry Detergent
10174,302,27358049,ShadowFax,3,COD,Mumbai,Maharashtra,Mop
10175,3355,10782196,Ekart,3,COD,Hyderabad,Telangana,Broom
10176,4318,66150381,ShadowFax,2,Prepaid,Chennai,Tamil Nadu,Dish Soap
10177,4596,86416350,Ekart,2,COD,Ahmedabad,Gujarat,Cushion Cover
10178,866,87696834,XpressBees,3,COD,Pune,Maharashtra,Storage Container
10179,4489,12226300,XpressBees,4,Prepaid,Mumbai,Maharashtra,Dish Soap
10180,2427,22963758,Ekart,1,Prepaid,Hyderabad,Telangana,Floor Cleaner
10181,3031,92132188,Ekart,2,COD,Mumbai,Maharashtra,Dish Soap
10182,297,21149087,Ekart,4,COD,Hyderabad,Telangana,Toothpaste
10183,2030,90093808,Ekart,2,COD,Hyderabad,Telangana,Garbage Bags
10184,3682,32704281,ShadowFax,3,Prepaid,Hyderabad,Telangana,Electric Kettle
10185,708,22649996,Ekart,2,Prepaid,Mumbai,Maharashtra,Mop
10186,3372,50288014,XpressBees,4,COD,Bangalore,Karnataka,Dish Soap
10187,1247,83335024,ShadowFax,2,Prepaid,Ahmedabad,Gujarat,Air Freshener
10188,4382,73449248,Ekart,4,COD,Hyderabad,Telangana,Air Freshener
10189,3497,45724735,Ekart,3,Prepaid,Mumbai,Maharashtra,Storage Container
10190,2611,39587486,Ekart,4,Prepaid,Mumbai,Maharashtra,Dish Sponge
10191,1894,55041216,Ekart,1,COD,Ahmedabad,Gujarat,Shampoo
10192,759,35378510,XpressBees,3,COD,Pune,Maharashtra,Cushion Cover
10193,2911,52825909,ShadowFax,4,Prepaid,Ahmedabad,Gujarat,Toothpaste
10194,1469,70772966,ShadowFax,2,Prepaid,Chennai,Tamil Nadu,Air Freshener
10195,2086,18264308,XpressBees,4,COD,Ahmedabad,Gujarat,Shampoo
10196,246,86068179,Ekart,1,COD,Chennai,Tamil Nadu,Shampoo
10197,3319,55927750,Ekart,2,COD,Hyderabad,Telangana,Toothpaste
10198,3011,74315491,Ekart,4,Prepaid,Mumbai,Maharashtra,Dish Soap
10199,1834,12950314,Ekart,3,Prepaid,Hyderabad,Telangana,Electric Kettle
10200,1943,40873355,Ekart,2,Prepaid,Ahmedabad,Gujarat,Curtains
10201,588,11121484,Ekart,4,Prepaid,Chennai,Tamil Nadu,Toilet Cleaner
10202,3076,82824810,Ekart,3,Prepaid,Pune,Maharashtra,Water Bottle
10203,2059,85646085,Ekart,4,COD,Ahmedabad,Gujarat,Dish Sponge
10204,2485,10126468,ShadowFax,1,Prepaid,Delhi,Delhi,Water Bottle
10205,3019,36890668,XpressBees,2,Prepaid,Pune,Maharashtra,Bucket
10206,4836,40833514,Ekart,4,COD,Bangalore,Karnataka,Broom
10207,1902,25933678,XpressBees,2,Prepaid,Ahmedabad,Gujarat,Hand Wash
10208,4161,85201349,ShadowFax,4,COD,Bangalore,Karnataka,Dinner Plate Set
10209,3469,63809909,XpressBees,4,Prepaid,Bangalore,Karnataka,Floor Cleaner
10210,362,47342597,ShadowFax,2,COD,Kolkata,West Bengal,Cushion Cover
10211,723,25894346,Ekart,3,Prepaid,Chennai,Tamil Nadu,Garbage Bags
10212,1116,10312794,ShadowFax,2,COD,Kolkata,West Bengal,Cushion Cover
10213,3743,37972460,Ekart,1,COD,Mumbai,Maharashtra,Shampoo
10214,2149,59880770,Ekart,3,COD,Hyderabad,Telangana,Dish Soap
10215,3823,10754968,Ekart,4,COD,Ahmedabad,Gujarat,Soap Bar
10216,4648,55930321,Ekart,4,COD,Bangalore,Karnataka,Dish Sponge
10217,3208,23948450,XpressBees,2,Prepaid,Hyderabad,Telangana,Toilet Cleaner
10218,4190,41964274,XpressBees,1,COD,Chennai,Tamil Nadu,Toilet Cleaner
10219,2156,51944749,ShadowFax,3,COD,Hyderabad,Telangana,Broom
10220,3270,75603519,Ekart,4,Prepaid,Mumbai,Maharashtra,Broom
10221,1782,34034101,Ekart,3,COD,Mumbai,Maharashtra,Electric Kettle
10222,2355,63651921,Ekart,1,Prepaid,Bangalore,Karnataka,Water Bottle
10223,1254,93108876,ShadowFax,3,COD,Chennai,Tamil Nadu,Dinner Plate Set
10224,4599,24919531,ShadowFax,3,Prepaid,Kolkata,West Bengal,Cushion Cover
10225,3291,49840158,Ekart,3,COD,Bangalore,Karnataka,Curtains
10226,1796,65138932,ShadowFax,3,COD,Kolkata,West Bengal,Shampoo
10227,4091,66281538,XpressBees,4,Prepaid,Hyderabad,Telangana,Toilet Cleaner
10228,4823,68038487,XpressBees,4,COD,Delhi,Delhi,Mop
10229,4782,68629878,ShadowFax,3,Prepaid,Pune,Maharashtra,Broom
10230,1748,89983908,XpressBees,1,Prepaid,Pune,Maharashtra,Electric Kettle
10231,1545,43516181,ShadowFax,4,Prepaid,Bangalore,Karnataka,Electric Kettle
10232,4299,68289836,XpressBees,1,COD,Pune,Maharashtra,Toilet Cleaner
10233,4023,74740348,ShadowFax,1,Prepaid,Kolkata,West Bengal,Toilet Cleaner
10234,353,40788453,XpressBees,2,COD,Delhi,Delhi,Dish Soap
10235,3283,51158249,ShadowFax,1,Prepaid,Pune,Maharashtra,Toothpaste
10236,2657,62076749,Ekart,1,COD,Bangalore,Karnataka,Air Freshener
10237,198,74082716,ShadowFax,4,COD,Chennai,Tamil Nadu,Hand Wash
10238,2300,57272473,XpressBees,3,Prepaid,Delhi,Delhi,Garbage Bags
10239,3061,84389123,XpressBees,4,Prepaid,Ahmedabad,Gujarat,Dinner Plate Set
10240,4533,35722144,ShadowFax,4,Prepaid,Chennai,Tamil Nadu,Floor Cleaner
10241,3877,75538075,XpressBees,1,Prepaid,Kolkata,West Bengal,Dish Soap
10242,2969,16580350,XpressBees,3,Prepaid,Chennai,Tamil Nadu,Cushion Cover
10243,3334,60546160,XpressBees,4,Prepaid,Pune,Maharashtra,Hand Wash
10244,3891,45990050,ShadowFax,1,Prepaid,Mumbai,Maharashtra,Hand Wash
10245,1056,27611612,XpressBees,1,Prepaid,Hyderabad,Telangana,Curtains
10246,4167,37251016,XpressBees,4,COD,Bangalore,Karnataka,Shampoo
10247,260,22780414,Ekart,3,Prepaid,Ahmedabad,Gujarat,Shampoo
10248,4593,88650257,XpressBees,3,Prepaid,Kolkata,West Bengal,Storage Container
10249,1400,91688330,Ekart,1,Prepaid,Mumbai,Maharashtra,Water Bottle
10250,4087,22432533,ShadowFax,4,Prepaid,Mumbai,Maharashtra,Mop
10251,1627,24645462,XpressBees,2,COD,Kolkata,West Bengal,Curtains
10252,1318,92482652,ShadowFax,4,Prepaid,Bangalore,Karnataka,Curtains
10253,4596,48662092,XpressBees,2,COD,Kolkata,West Bengal,Garbage Bags
10254,4835,43893727,ShadowFax,1,Prepaid,Kolkata,West Bengal,Cushion Cover
10255,3204,97044921,Ekart,1,COD,Bangalore,Karnataka,Shampoo
10256,2835,36166954,Ekart,2,Prepaid,Delhi,Delhi,Storage Container
10257,4655,83488751,Ekart,3,Prepaid,Delhi,Delhi,Hand Wash
10258,1054,77682900,Ekart,3,Prepaid,Bangalore,Karnataka,Soap Bar
10259,4665,67076081,ShadowFax,2,Prepaid,Ahmedabad,Gujarat,Water Bottle
10260,3546,15477665,Ekart,2,Prepaid,Ahmedabad,Gujarat,Dish Soap
10261,1145,26969986,ShadowFax,3,Prepaid,Mumbai,Maharashtra,Garbage Bags
10262,1793,46533420,ShadowFax,4,Prepaid,Bangalore,Karnataka,Cushion Cover
10263,3536,40091052,ShadowFax,4,Prepaid,Hyderabad,Telangana,Bucket
10264,662,80831207,ShadowFax,2,COD,Chennai,Tamil Nadu,Air Freshener
10265,2585,82143230,ShadowFax,2,Prepaid,Kolkata,West Bengal,Floor Cleaner
10266,3454,10946852,ShadowFax,2,COD,Chennai,Tamil Nadu,Broom
10267,325,81783220,Ekart,3,Prepaid,Ahmedabad,Gujarat,Water Bottle
10268,4993,93990916,ShadowFax,4,COD,Ahmedabad,Gujarat,Dish Sponge
10269,1059,96025151,Ekart,3,COD,Hyderabad,Telangana,Electric Kettle
10270,4648,24413935,ShadowFax,1,COD,Chennai,Tamil Nadu,Hand Wash
10271,3167,73054352,ShadowFax,2,Prepaid,Bangalore,Karnataka,Toothpaste
10272,915,68507271,ShadowFax,1,Prepaid,Hyderabad,Telangana,Mop
10273,4854,79311342,Ekart,1,Prepaid,Mumbai,Maharashtra,Water Bottle
10274,4742,48218238,XpressBees,2,Prepaid,Kolkata,West Bengal,Water Bottle
10275,3220,18803349,Ekart,1,Prepaid,Ahmedabad,Gujarat,Garbage Bags
10276,116,77961626,ShadowFax,3,Prepaid,Mumbai,Maharashtra,Hand Wash
10277,1343,84002489,XpressBees,2,Prepaid,Mumbai,Maharashtra,Floor Cleaner
10278,2305,34436357,XpressBees,4,Prepaid,Chennai,Tamil Nadu,Toilet Cleaner
10279,2624,93668398,ShadowFax,3,COD,Chennai,Tamil Nadu,Air Freshener
10280,1169,43142886,XpressBees,3,Prepaid,Delhi,Delhi,Bucket
10281,3544,77978410,Ekart,2,Prepaid,Ahmedabad,Gujarat,Garbage Bags
10282,2665,16458720,XpressBees,1,Prepaid,Mumbai,Maharashtra,Mop
10283,1160,49973691,ShadowFax,2,Prepaid,Bangalore,Karnataka,Water Bottle
10284,2427,33429019,XpressBees,2,COD,Mumbai,Maharashtra,Shampoo
10285,3520,26746745,XpressBees,4,Prepaid,Hyderabad,Telangana,Toilet Cleaner
10286,401,90146416,XpressBees,4,COD,Chennai,Tamil Nadu,Toothpaste
10287,4376,18012350,XpressBees,1,COD,Bangalore,Karnataka,Shampoo
10288,706,53889552,XpressBees,3,Prepaid,Bangalore,Karnataka,Electric Kettle
10289,3270,13029086,XpressBees,3,COD,Pune,Maharashtra,Toilet Cleaner
10290,799,37778097,ShadowFax,3,COD,Delhi,Delhi,Hand Wash
10291,1239,85201123,XpressBees,2,COD,Hyderabad,Telangana,Toothpaste
10292,290,32320493,Ekart,2,Prepaid,Kolkata,West Bengal,Garbage Bags
10293,2400,26885482,XpressBees,4,Prepaid,Kolkata,West Bengal,Storage Container
10294,1080,86131209,Ekart,2,COD,Delhi,Delhi,Hand Wash
10295,3075,47974421,XpressBees,1,Prepaid,Chennai,Tamil Nadu,Broom
10296,1284,38080447,Ekart,3,Prepaid,Delhi,Delhi,Broom
10297,3427,15387998,XpressBees,1,COD,Chennai,Tamil Nadu,Floor Cleaner
10298,3494,80947229,Ekart,3,Prepaid,Delhi,Delhi,Shampoo
10299,227,67669618,XpressBees,4,COD,Hyderabad,Telangana,Soap Bar
10300,2165,17753491,Ekart,2,COD,Pune,Maharashtra,Laundry Detergent
10301,1916,83405965,Ekart,1,Prepaid,Chennai,Tamil Nadu,Curtains
10302,669,40632206,ShadowFax,3,COD,Bangalore,Karnataka,Water Bottle
10303,1995,87494012,ShadowFax,4,COD,Mumbai,Maharashtra,Floor Cleaner
10304,2833,16574392,Ekart,3,Prepaid,Kolkata,West Bengal,Toilet Cleaner
10305,3963,92850194,XpressBees,4,Prepaid,Pune,Maharashtra,Laundry Detergent
10306,4821,71331751,Ekart,1,Prepaid,Bangalore,Karnataka,Toothpaste
10307,4114,47229662,XpressBees,2,COD,Chennai,Tamil Nadu,Mop
10308,3001,59485028,XpressBees,1,COD,Bangalore,Karnataka,Garbage Bags
10309,1786,70171158,XpressBees,2,COD,Kolkata,West Bengal,Toothpaste
10310,3109,62146539,XpressBees,4,COD,Chennai,Tamil Nadu,Water Bottle
10311,254,27945593,XpressBees,4,Prepaid,Mumbai,Maharashtra,Laundry Detergent
10312,2637,27885901,Ekart,3,COD,Delhi,Delhi,Floor Cleaner
10313,1509,86069909,Ekart,4,COD,Mumbai,Maharashtra,Soap Bar
10314,4157,58863453,Ekart,1,Prepaid,Delhi,Delhi,Hand Wash
10315,884,63284079,Ekart,3,Prepaid,Mumbai,Maharashtra,Broom
10316,3275,65234759,Ekart,3,COD,Hyderabad,Telangana,Water Bottle
10317,4441,75212395,Ekart,2,COD,Bangalore,Karnataka,Toothpaste
10318,2906,96608414,XpressBees,3,COD,Chennai,Tamil Nadu,Toothpaste
10319,637,10791823,Ekart,4,Prepaid,Mumbai,Maharashtra,Electric Kettle
10320,1941,89718453,Ekart,2,COD,Pune,Maharashtra,Toothpaste
10321,2555,41642470,Ekart,4,COD,Chennai,Tamil Nadu,Cushion Cover
10322,624,54414359,XpressBees,1,Prepaid,Chennai,Tamil Nadu,Air Freshener
10323,3050,46278804,Ekart,1,Prepaid,Mumbai,Maharashtra,Storage Container
10324,4231,47323079,XpressBees,1,COD,Pune,Maharashtra,Toilet Cleaner
10325,4880,69276241,ShadowFax,4,COD,Ahmedabad,Gujarat,Air Freshener
10326,4215,15497381,ShadowFax,1,COD,Delhi,Delhi,Toilet Cleaner
10327,2468,16220941,Ekart,4,COD,Pune,Maharashtra,Electric Kettle
10328,3947,78821622,XpressBees,4,Prepaid,Hyderabad,Telangana,Mop
10329,4595,40618061,Ekart,4,Prepaid,Kolkata,West Bengal,Dish Sponge
10330,2801,58244114,XpressBees,1,COD,Mumbai,Maharashtra,Dish Sponge
10331,1071,78708701,XpressBees,2,Prepaid,Bangalore,Karnataka,Mop
10332,1266,56669326,ShadowFax,4,COD,Delhi,Delhi,Broom
10333,2874,76141103,Ekart,1,COD,Chennai,Tamil Nadu,Dish Soap
